.,Number,Week,Date,Top,User,count,online,Log,R8,R1,T,Y
,1,10,09.03.2017,jUnit 5,Video,,,,,,,
,2,11,16.03.2017,jUnit 5,TBD,,,,,,,
,3,12,23.03.2017,TBD,TBD,,,,,,,
,4,13,30.03.2017,TBD,TBD,,,,,,,
,5,14,06.04.2017,Java9,Ivan Verhun,,,,,,,
,6,15,13.04.2017,TBD,TBD,,,,,,,
,7,16,20.04.2017,TBD,TBD,,,,,,,
,8,17,27.04.2017,Java9 Modules,Ihor Banadiga,,,,,,,
,9,18,04.05.2017,Java9 Collection,Video,,,,,,,
,,,,,,,,,,,,
,10,19,11.05.2017,Spring Cloud,Video,,,,,,,
,11,20,18.05.2017,Spring Cloud,Roman Tsypuk,,,,,,,
,12,21,25.05.2017,Spring Cloud,Andriy Levchenko,,,,,,,
,13,22,01.06.2017,Spring Cloud,Khrystyna Hospodarysko,,,,,,,
,14,23,08.06.2017,Spring Cloud,Alex Muliarevych,,,,,,,
,15,24,15.06.2017,Spring Cloud,Roman Tsypuk,,,,,,,
,16,25,22.06.2017,Spring Cloud,Nazar Kushnir,,,,,,,
,17,26,29.06.2017,Spring Cloud,,,,,,,,
,18,27,06.07.2017,Cloud Foundry,Video,,,,,,,
,,,,,,,,,,,,
,19,28,13.07.2017,Cloud Foundry,Roman Tsypuk,,,,,,,
,,,,,Ihor Banadiga,,,,,,,
,20,29,20.07.2017,Cloud Foundry,,,,,,,,
,21,30,27.07.2017,Groovy,Video,,,,,,,
,22,31,03.08.2017,Groovy,,,,,,,,
,23,32,10.08.2017,Groovy,Ivan Verhun,,,,,,,
,24,33,17.08.2017,Groovy,Ihor Banadiga,,,,,,,
,25,35,31.08.2017,Gradle,Video,,,,,,,
,26,36,07.09.2017,Pizza,,,,,,,,
,27,37,14.09.2017,Gradle,Nazar Kushnir,,,,,,,
,28,38,21.09.2017,Gradle,Roman Tsypuk,,,,,,,
,29,39,28.09.2017,Gradle,Andriy Levchenko,,,,,,,
,30,40,05.10.2017,BOF,Andriy Levchenko,,,,,,,
,,,,,Ihor Banadiga,,,,,,,
,31,41,12.10.2017,Knowledge sharing,Yuriy Tereschuk,,,,,,,
,,,,,Alex Muliarevych,,,,,,,
,32,42,19.10.2017,Reactive,Video,15,,,,,,
,33,43,26.10.2017,Reactive,Roman Tsypuk,14,,,,,,
,34,44,02.11.2017,Reactive,Andriy Rymar,8,,,,,,
,35,45,09.11.2017,Reactive,Andriy Rymar,9,,,,,,
,,,,,Roman Tsypuk,,,,,,,
,36,46,16.11.2017,Kafka,Video,10,,,,,,
,37,47,23.11.2017,Kafka,Andriy Levchenko,11,,,,,,
,38,48,30.11.2017,Kafka,Ivan Verhun,10,,,,,,
,39,49,07.12.2017,Kafka,Video,11,,,,,,
,,,,,,,,,,,,
,40,50,14.12.2017,Kafka,Serg Masyutin,11,,,,,,
,41,51,21.12.2017,Kafka,Serg Masyutin,8,,,,,,
,42,52,28.12.2017,BOF,,7,,,,,,
,43,2,11.01.2018,Web Sockets,Video,12,,,,,,
,44,3,18.01.2018,Web Sockets,Andriy Levchenko,10,,,,,,
,45,4,25.01.2018,Spring 5,Video,12,,,,,,
,46,5,01.02.2018,Spring 5,Khrystyna Hospodarysko,9,,,,,,
,47,6,08.02.2018,Spring 5,Khrystyna Hospodarysko,7,,,,,,
,48,7,15.02.2018,Spring 5,Andriy Levchenko,8,,,,,,
,,,,,Ihor Banadiga,,,,,,,
,49,8,22.02.2018,http2,Video,9,,,,,,
,50,9,01.03.2018,http2,Ihor Banadiga,9,,,,,,
,51,11,15.03.2018,Pizza,,8,,,,,,
,52,12,22.03.2018,OAuth2,Video,10,,,,,,
,53,13,29.03.2018,OAuth2,Sergii Bishyr,7,,,,,,
,54,14,05.04.2018,OAuth2,Sergii Bishyr,9,,,,,,
,55,15,12.04.2018,OAuth2,Sergii Bishyr,5,,,,,,
,56,16,19.04.2018,Docker,,9,,,,,,
,57,17,26.04.2018,Docker,Roman Kniazevych,9,,,,,,
,58,18,03.05.2018,Docker,Roman Kniazevych,5,,,,,,
,59,19,10.05.2018,jUnit 5,Video,8,,,,,,
,60,20,17.05.2018,jUnit 5,Yuriy Shpyluk,9,,,,,,
,,,,,Kostya Hospodarysko,,,,,,,
,61,21,24.05.2018,jUnit 5,Yuriy Shpyluk,10,,,,,,
