Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
6z1t_7Ado6w,Lviv JavaClub [Event 158]  - Orchestration Saga Pattern,"Nov 22, 2020",3235,2572,13.769,1,4223,2.68
U4LAuFOq3Qo,Lviv JavaClub [Event 332] Spring Batch by Yaroslav Mazurak,"Aug 6, 2024",1125,402,9.7597,8,13376,2.09
RxYNF8BxwjI,Lviv JavaClub [Event 216] Object Audit and Diff with JaVers,"Feb 1, 2022",3407,358,18.0603,1,3870,4.65
9Bx0MsuFhzQ,Lviv JavaClub [Event 333] Polyglot programming with graalVM by Ihor Didyk,"Aug 7, 2024",3325,315,10.5102,7,10765,2.01
JzqO_fxrBxo,Lviv JavaClub [Event 206] JobRunr,"Nov 8, 2021",4076,288,14.5658,1,5292,3.17
fVJx0HKPkk0,Lviv JavaClub [Event 274] Telegram bot on Java,"Jun 6, 2023",2053,279,12.7444,10,4001,2.25
cuy1_yt8W9I,Lviv JavaClub [Event 264] Spring Modulith,"Mar 29, 2023",2845,260,11.7868,3,10424,1.57
b5kXvsu1iMA,Lviv JavaClub [Event 305] Mongock by Dmytro Khonko,"Jan 24, 2024",2183,228,11.3523,0,2810,4.38
S3pq8-VN0Lo,Lviv JavaClub [Event 258] Spring Security ACL,"Feb 7, 2023",3473,224,17.7607,4,4133,2.88
5kRowUYBBa8,Lviv JavaClub [Event 249] Spring 6 and Sprint Boot 3,"Nov 28, 2022",3657,215,9.998,1,9329,0.88
9z9cy0v6Y6M,Lviv JavaClub [Event 222] AWS ECS   DevOps for dummies,"May 23, 2022",2882,208,7.6482,3,3568,2.05
Fze4mG5DXRQ,Lviv JavaClub [Event 302] Spring boot news by Ihor Didyk,"Dec 20, 2023",2858,194,14.0169,10,3161,3.8
tT1pw5A4Rf0,Lviv JavaClub [Event 204] Spring Authorization Server,"Oct 25, 2021",2489,190,9.3438,1,2869,4.39
aak6kreY-Lo,Lviv JavaClub [Event 311] Enter in to IT by Yuriy Stakhniak,"Mar 15, 2024",2893,189,15.6872,2,7550,0.97
bw02tiAiT3Y,Lviv JavaClub [Event 183] Nimbus JOSE,"Jun 27, 2021",3344,188,6.0602,2,1880,5.53
Iv054AYQwyA,Lviv JavaClub [Event 152] 🤟🏻 Most intriguing Java 15 features,"Oct 12, 2020",3070,180,7.1416,4,1062,7.91
8VnXVis8X6M,Lviv JavaClub [Event 295] Java EE/Jakarta to Spring framework comparison,"Oct 31, 2023",1878,175,7.0014,7,5434,2.1
hA1SU-rZ3uw,Lviv JavaClub [Event 309] Exception Handling in JAVA Spring by Michael Kami,"Feb 21, 2024",1852,170,6.4826,1,1964,4.53
gd6Pal8_CPc,Lviv JavaClub [Event 234] 10m virtual threads 🧵,"Aug 15, 2022",1970,168,6.6124,2,4097,2.22
OVEfg7L2y6Y,Lviv JavaClub [Event 282] Java Memory Model by Ivan Shevtsov,"Jul 25, 2023",3776,163,11.1474,1,2625,3.09
inYHr8u_0zA,Lviv JavaClub [Event 175] 🤙 Java 16,"Mar 29, 2021",3776,162,6.7886,4,2869,1.99
Nda3MvKiXhA,Lviv JavaClub [Event 294] Virtual threads with spring boot app by Roman Kniazevych,"Oct 21, 2023",3443,160,14.6778,4,5064,2.29
0fNKc0daZ-c,Lviv JavaClub [Event 159]  - MapStruct,"Nov 30, 2020",3933,159,8.8335,5,2626,3.12
QRj6LDbSsiM,Lviv JavaClub [Event 315] Spring AI by Serhii Petrenko,"Apr 3, 2024",3677,158,12.4538,6,2590,2.63
WOsKq4RiOP0,Lviv JavaClub [Event 322] Web vulnerabilities in Java Spring by Michael Kami,"May 24, 2024",1515,158,5.8464,2,2081,3.7
6X9MyiQccYU,Lviv JavaClub [Event 330] Intro to GenAI with ChatGPT by Serhii Petrenko,"Jul 23, 2024",3764,156,10.5689,2,3969,2.02
n0nT_GmfPKM,Lviv JavaClub [Event 320] Unit testing of DTOs by Ihor Banadiga,"May 6, 2024",2018,156,12.6401,2,3222,2.98
nng3hxWsIsU,Lviv JavaClub [Event 240] Java 19,"Sep 26, 2022",3800,156,3.4698,1,5133,1.38
xm7_9RjGTog,Lviv JavaClub [Event 244] JetBrains Fleet,"Oct 24, 2022",2379,155,7.9464,4,4173,2.13
2N23SC8NSUU,Lviv JavaClub [Event 314] Java 22 by Oleh Melnyk,"Mar 25, 2024",3456,154,10.7631,1,1695,4.54
y7ANhhprMj0,Lviv JavaClub  [Event 223] Keycloak,"May 30, 2022",2492,152,8.9726,4,2639,2.31
0Qqmkxo-XZM,Lviv JavaClub [Event 189] Javalin,"Aug 11, 2021",3185,151,5.5429,-1,2408,3.86
BXmpcu7InaQ,Lviv JavaClub [Event 251] Testing in Reactive Systems,"Dec 12, 2022",2073,149,2.2992,0,3231,2.23
JoiEigeKGgw,Lviv JavaClub [Event 318] Security and Vulnerability Testing by Ihor Didyk,"Apr 19, 2024",2638,148,9.6593,3,2592,2.89
VKVE7XJn9-U,Lviv JavaClub [Event 290] Java 21 update by  Oleh Melnyk,"Oct 4, 2023",4768,146,13.7246,6,3115,2.31
OtvatFAGZT8,Lviv JavaClub [Event 300] Streaming the result of a Query execution by Jaroslav Mazurak,"Dec 8, 2023",1705,145,8.0659,3,3842,2.81
TpZm4SC1-Fs,Lviv JavaClub [Event 289] Dropwizard Metrics by Jaroslav Mazurak,"Sep 27, 2023",2275,144,3.507,4,2637,3.56
NiCVKmNrUzM,Lviv JavaClub [Event 207] Apache NiFi,"Nov 15, 2021",3271,140,6.9719,5,1375,2.91
A4iejNdr7wc,Lviv JavaClub [Event 179] WebSockets on Spring STOMP,"Jun 27, 2021",3473,139,4.4341,2,1819,3.08
_Nk2Gv5AGqQ,Lviv JavaClub [Event 217] Spring Boot Micrometer and Actuator,"Feb 2, 2022",4221,136,6.655,1,1371,4.67
AeMygytNxKU,Lviv JavaClub [Event 283] Java ByteCode,"Aug 2, 2023",3438,133,5.8772,0,1795,2.73
uXuMzQ-d4Xg,Lviv JavaClub [Event 277] Multitenancy in Hibernate,"Jun 23, 2023",2236,126,4.5148,1,2418,3.14
QHuTjUPka2M,Lviv JavaClub [Event 191] Distributed Locks and Single Leader election with Spring Integration,"Sep 5, 2021",3600,124,5.2606,0,1452,4.61
0kXTP1P1Qco,Welcome to Lviv JavaClub,"Oct 9, 2020",6,123,0.1909,0,2246,3.38
_JeNwXVF5U0,Lviv JavaClub [Event 287] Introduction to PASETO by Ihor Didyk,"Sep 11, 2023",2219,123,5.1413,4,3324,2.23
5ZSrnrmdN5Q,Lviv JavaClub [Event 153] ✨ Compile-time annotation processing.,"Oct 20, 2020",2818,120,8.0924,2,731,7.93
02RnREr4vag,Lviv JavaClub [Event 327] Criteria API by Volodymyr Yastrubchak,"Jul 1, 2024",3270,119,7.6264,1,2572,2.45
tl74mlq3BDU,Lviv JavaClub [Event 301] JOOQ by Andriy Riy,"Dec 11, 2023",2329,116,5.074,2,2860,2.13
